"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"Codigo";"Sigla";"Nome";"DataIns";"DataAlt";"RespAlt"
66807687.00;0;0;0;0;134;"VITERBO";"Viterbo Machado Luz Mineração Ltda.";11/2/2020 00:00:00;;8
66807688.00;0;0;0;0;200;"RECIMAP";"Recimap Industria e Comércio Ltda.";11/2/2020 00:00:00;;8
66807689.00;0;0;0;0;131;"PARANAPANEMA";"Rio Paranapanema Energia S.A";11/2/2020 00:00:00;;8
66807690.00;0;0;0;0;135;"COOPERLUZ";"Cooperativa de Geração de Energia e Desenvolvimento COOPERLUZ Geração";11/2/2020 00:00:00;;8
66807691.00;0;0;0;0;140;"UFBA";"Universidade Federal da Bahia";11/2/2020 00:00:00;;8
66807692.00;0;0;0;0;136;"JAGUARI";"Jaguari Energética S.A";11/2/2020 00:00:00;;8
66807693.00;0;0;0;0;164;"IRANI";"Celulose Irani S.A.";11/2/2020 00:00:00;;8
66807694.00;0;0;0;0;139;"CONSTRUSERV";"Construserv Serviços Gerais Ltda";11/2/2020 00:00:00;;8
66807695.00;0;0;0;0;138;"ENGEP";"Engenharia e Pavimentação Ltda";11/2/2020 00:00:00;;8
66807696.00;0;0;0;0;165;"IGUAÇU";"Iguaçu Geração de Energia Ltda.";11/2/2020 00:00:00;;8
66807697.00;0;0;0;0;241;"MONTE AZUL";"Monte Azul Empreendimentos Imobiliários e Geração de Energia Ltda.";11/2/2020 00:00:00;;8
66807698.00;0;0;0;0;166;"CERFOX";"Cooperativa de Geração e Distribuição de Energia Fontoura Xavier Ltda. - CERFOX";11/2/2020 00:00:00;;8
66807699.00;0;0;0;0;265;"CURUÁ";"Curuá Energia S.A.";11/2/2020 00:00:00;;8
66807700.00;0;0;0;0;167;"CERILUZ GERAÇÃO";"Cooperativa de Geração de Energia e Desenvolvimento Social Ltda. - Ceriluz Geração";11/2/2020 00:00:00;;8
66807701.00;0;0;0;0;242;"PESQUEIRO";"Pesqueiro Energia S.A.";11/2/2020 00:00:00;;8
66807702.00;0;0;0;0;168;"CERMISSÕES";"Cooperativa de Distribuição e Geração de Energia das Missões Ltda.-CERMISSÕES";11/2/2020 00:00:00;;8
66807703.00;0;0;0;0;259;"CONCREMAT";"Concremat Engenharia e Tecnologia";11/2/2020 00:00:00;;8
66807704.00;0;0;0;0;243;"PIRAPAMA";"Companhia Industrial Pirapama";11/2/2020 00:00:00;;8
66807705.00;0;0;0;0;170;"CERTHIL";"Cooperativa de Energia e Desenvolvimento Rural Entre Rios Ltda.-CERTHIL";11/2/2020 00:00:00;;8
66807706.00;0;0;0;0;269;"UFPA";"Universidade Federal do Pará";11/2/2020 00:00:00;;8
66807707.00;0;0;0;0;172;"CFLCL";"Companhia Força e Luz Cataguases Leopoldina";11/2/2020 00:00:00;;8
66807708.00;0;0;0;0;244;"PONTE DE PEDRA";"Ponte de Pedra Energética S.A.";11/2/2020 00:00:00;;8
66807709.00;0;0;0;0;260;"HIDRECON";"Energia Independente";11/2/2020 00:00:00;;8
66807710.00;0;0;0;0;245;"ROSAL";"Rosal Energia S.A.";11/2/2020 00:00:00;;8
66807711.00;0;0;0;0;174;"PORTLAND ITAÚ";"Companhia Cimento Portland Itaú";11/2/2020 00:00:00;;8
66807712.00;0;0;0;0;266;"SEMA-RS";"Secretaria de Meio Ambiente do Estado do Rio Grande do Sul";11/2/2020 00:00:00;;8
66807713.00;0;0;0;0;246;"SANTANENSE";"Companhia Tecidos Santanense";11/2/2020 00:00:00;;8
66807714.00;0;0;0;0;433;"RIO AGUA CLARA";"Rio água Clara Energia S.A.";11/2/2020 00:00:00;;8
66807715.00;0;0;0;0;292;"ÁGUAS GUARIROBA";"Águas Guariroba S/A";11/2/2020 00:00:00;;8
66807716.00;0;0;0;0;317;"L&S PAR";"L&S PAR LTDA e Alupar Investimento S.A.";11/2/2020 00:00:00;;8
66807717.00;0;0;0;0;318;"BRAÇO NORTE";"Braço Norte Energia S.A.";11/2/2020 00:00:00;;8
66807718.00;0;0;0;0;494;"CERBRANORTE";"Cerbranorte Geração S.A.";11/2/2020 00:00:00;;8
66807719.00;0;0;0;0;312;"FOZ DO CHOPIM";"Foz do Chopim Energética Ltda.";11/2/2020 00:00:00;;8
66807720.00;0;0;0;0;306;"PCH FIGUEIRA";"Consórcio PCH Figueira";11/2/2020 00:00:00;;8
66807721.00;0;0;0;0;324;"SAJESA";"Salto Jauru Energética S.A-SAJESA";11/2/2020 00:00:00;;8
66807722.00;0;0;0;0;307;"ELETROSSOL";"Centrais Elétricas Cassol  Ltda.-ELETROSSOL";11/2/2020 00:00:00;;8
66807723.00;0;0;0;0;288;"ARROSSENSAL";"Arrossensal Agropecuária e Comercial S.A.";11/2/2020 00:00:00;;8
66807724.00;0;0;0;0;309;"DOBREVÊ";"Dobrevê Energética";11/2/2020 00:00:00;;8
66807725.00;0;0;0;0;395;"SPE CRISTINA";"SPE Cristina Energia S.A.";11/2/2020 00:00:00;;8
66807726.00;0;0;0;0;403;"SEMAS-PA";"Secretaria do Meio Ambiente e Sustentabilidade do Estado do Pará";11/2/2020 00:00:00;;8
66807727.00;0;0;0;0;313;"ISA";"Instituto Sócio Ambiental";11/2/2020 00:00:00;;8
66807728.00;0;0;0;0;304;"CESS";"Companhia Energética São Salvador-CESS";11/2/2020 00:00:00;;8
66807729.00;0;0;0;0;294;"CRIÚVA";"Criuva Energética S.A.";11/2/2020 00:00:00;;8
66807730.00;0;0;0;0;295;"UHRGL";"Usina Hidrelétrica Rio Grande Ltda";11/2/2020 00:00:00;;8
66807731.00;0;0;0;0;404;"JATAÍ";"Jataí Energética S.A";11/2/2020 00:00:00;;8
66807732.00;0;0;0;0;289;"ELEJOR";"Centrais Elétricas do Rio Jordão S.A-ELEJOR";11/2/2020 00:00:00;;8
66807733.00;0;0;0;0;290;"ELETROCESAR";"Eletro Cesar Geração de Energia Ltda";11/2/2020 00:00:00;;8
66807734.00;0;0;0;0;408;"CONS.PESTRELA";"Consórcio AHE Porto Estrela";11/2/2020 00:00:00;;8
66807735.00;0;0;0;0;409;"BONFANTE";"Bonfante Energética S.A";11/2/2020 00:00:00;;8
66807736.00;0;0;0;0;414;"RIGESA";"Rigesa - Celulose, Papel e Embalagens Ltda.";11/2/2020 00:00:00;;8
66807737.00;0;0;0;0;314;"RIACHÃO";"Riachão Energética S.A.";11/2/2020 00:00:00;;8
66807738.00;0;0;0;0;315;"GACEL";"Galera Centrais Elétricas S.A-GACEL";11/2/2020 00:00:00;;8
66807739.00;0;0;0;0;316;"PONTE ALTA";"Energética Ponte Alta S.A";11/2/2020 00:00:00;;8
66807740.00;0;0;0;0;410;"COBUCCIO";"Cobuccio e Almeida Energia Ltda. - EPP";11/2/2020 00:00:00;;8
66807741.00;0;0;0;0;417;"ENEBRAS";"Enebras Projetos de Usinas Hidrelétricas Ltda.";11/2/2020 00:00:00;;8
66807742.00;0;0;0;0;691;"CIMAG";"Cimento Portland Mato Grosso S.A";11/2/2020 00:00:00;;8
66807743.00;0;0;0;0;415;"HIDROTEL";"Hidrotel Hidrometria e Telemetria Ltda";11/2/2020 00:00:00;;8
66807744.00;0;0;0;0;412;"NEOINVEST";"Neoinvest Investimentos S.A.";11/2/2020 00:00:00;;8
66807745.00;0;0;0;0;416;"SANTA CRUZ";"Santa Cruz Geração de Energia S.A";11/2/2020 00:00:00;;8
66807746.00;0;0;0;0;427;"ELETRISA";"Eletrisa - Operadora de Usinas Ltda.";11/2/2020 00:00:00;;8
66807747.00;0;0;0;0;418;"SHM";"SHM - Sistemas Hídricos, Medição e Controle Ltda.";11/2/2020 00:00:00;;8
66807748.00;0;0;0;0;431;"DESENVIX";"Desenvix S.A.";11/2/2020 00:00:00;;8
66807749.00;0;0;0;0;428;"COCAIS GRANDE";"Cocais Grande Energia S/A";11/2/2020 00:00:00;;8
66807750.00;0;0;0;0;421;"UNITINS";"Fundação Universidade do Tocantins";11/2/2020 00:00:00;;8
66807751.00;0;0;0;0;283;"SEMARH-PI";"Secretaria do Meio Ambiente e Recursos Hídricos - PI";11/2/2020 00:00:00;;8
66807752.00;0;0;0;0;301;"CN ENERGIA";"CN Energia S.A";11/2/2020 00:00:00;;8
66807753.00;0;0;0;0;445;"ENERGEST";"Energest S.A";11/2/2020 00:00:00;;8
66807754.00;0;0;0;0;443;"IFM";"IFM - Administração e Participação Ltda.";11/2/2020 00:00:00;;8
66807755.00;0;0;0;0;444;"GERA";"GERA - Consultoria e Empreendimentos Energéticos Ltda";11/2/2020 00:00:00;;8
66807756.00;0;0;0;0;446;"BJ. AGROP. LTDA";"Bom Jesus Agropecuária Ltda.";11/2/2020 00:00:00;;8
66807757.00;0;0;0;0;448;"AMPARO";"Amparo Energia Ltda.";11/2/2020 00:00:00;;8
66807758.00;0;0;0;0;450;"ESPORA";"Espora Energética S.A";11/2/2020 00:00:00;;8
66807759.00;0;0;0;0;467;"BROOKFIELD";"Brookfield Energia Renovável  S.A";11/2/2020 00:00:00;;8
66807760.00;0;0;0;0;319;"SÃO SIMÃO";"São Simão Energia S.A";11/2/2020 00:00:00;;8
66807761.00;0;0;0;0;320;"CARANGOLA";"Carangola Energia S.A";11/2/2020 00:00:00;;8
66807762.00;0;0;0;0;468;"HOBECO";"Hobeco Ltda.";11/2/2020 00:00:00;;8
66807763.00;0;0;0;0;321;"CALHEIROS";"Calheiros Energia S.A.";11/2/2020 00:00:00;;8
66807764.00;0;0;0;0;331;"CONS.UHEGA";"Consórcio UHE Guilman Amorim";11/2/2020 00:00:00;;8
66807765.00;0;0;0;0;322;"FUNIL";"Funil Energia S.A.";11/2/2020 00:00:00;;8
66807766.00;0;0;0;0;469;"RIO SUCURIÚ";"Rio Sucuriú Energia S.A.";11/2/2020 00:00:00;;8
66807767.00;0;0;0;0;470;"QUANTA";"Quanta Geração S.A.";11/2/2020 00:00:00;;8
66807768.00;0;0;0;0;327;"VARZEA DO JUBA";"Várzea do Juba Energética S.A.";11/2/2020 00:00:00;;8
66807769.00;0;0;0;0;190;"ADASA";"Agência Reguladora de Águas e Saneamento - DF";11/2/2020 00:00:00;;8
66807770.00;0;0;0;0;335;"PAMPEANA";"Pampeana Energética S.A.";11/2/2020 00:00:00;;8
66807771.00;0;0;0;0;345;"MUXFELDT";"Muxfeldt Marin e Cia.";11/2/2020 00:00:00;;8
66807772.00;0;0;0;0;328;"OMBREIRAS";"Ombreiras Energética S.A.";11/2/2020 00:00:00;;8
