"RegistroID";"Importado";"Temporario";"Removido";"ImportadoRepetido";"EstadoCodigo";"Codigo";"CodigoIBGE";"Nome";"DataIns";"DataAlt";"RespAlt"
66804637.00;0;0;0;0;22;22136000;4113601;"LOBATO";11/2/2020 00:00:00;;8
66804638.00;0;0;0;0;22;22137000;4113700;"LONDRINA";11/2/2020 00:00:00;;8
66804639.00;0;0;0;0;22;22137300;4113734;"LUIZIANA";11/2/2020 00:00:00;;8
66804640.00;0;0;0;0;22;22137700;4113759;"LUNARDELLI";11/2/2020 00:00:00;;8
66804641.00;0;0;0;0;22;22138000;4113809;"LUPIONÓPOLIS";11/2/2020 00:00:00;;8
66804642.00;0;0;0;0;22;22139000;4113908;"MALLET";11/2/2020 00:00:00;;8
66804643.00;0;0;0;0;22;22140000;4114005;"MAMBORÊ";11/2/2020 00:00:00;;8
66804644.00;0;0;0;0;22;22141000;4114104;"MANDAGUAÇU";11/2/2020 00:00:00;;8
66804645.00;0;0;0;0;22;22142000;4114203;"MANDAGUARI";11/2/2020 00:00:00;;8
66804646.00;0;0;0;0;22;22143000;4114302;"MANDIRITUBA";11/2/2020 00:00:00;;8
66804647.00;0;0;0;0;22;22144000;4114401;"MANGUEIRINHA";11/2/2020 00:00:00;;8
66804648.00;0;0;0;0;22;22146000;4114609;"MARECHAL CÂNDIDO RONDON";11/2/2020 00:00:00;;8
66804649.00;0;0;0;0;22;22147000;4114708;"MARIA HELENA";11/2/2020 00:00:00;;8
66804650.00;0;0;0;0;22;22149000;4114906;"MARILÂNDIA DO SUL (ARARUVA)";11/2/2020 00:00:00;;8
66804651.00;0;0;0;0;22;22150000;4115002;"MARILENA";11/2/2020 00:00:00;;8
66804652.00;0;0;0;0;22;22153000;4115309;"MARIÓPOLIS";11/2/2020 00:00:00;;8
66804653.00;0;0;0;0;22;22153500;4115358;"MARIPA";11/2/2020 00:00:00;;8
66804654.00;0;0;0;0;22;22155000;4115507;"MARUMBI";11/2/2020 00:00:00;;8
66804655.00;0;0;0;0;22;22156000;4115606;"MATELÂNDIA";11/2/2020 00:00:00;;8
66804656.00;0;0;0;0;22;22157000;4115705;"MATINHOS";11/2/2020 00:00:00;;8
66804657.00;0;0;0;0;22;22157700;4115754;"MAUÁ DA SERRA";11/2/2020 00:00:00;;8
66804658.00;0;0;0;0;22;22158000;4115804;"MEDIANEIRA";11/2/2020 00:00:00;;8
66804659.00;0;0;0;0;22;22159000;4115903;"MIRADOR";11/2/2020 00:00:00;;8
66804660.00;0;0;0;0;22;22160000;4116000;"MIRASELVA";11/2/2020 00:00:00;;8
66804661.00;0;0;0;0;22;22161000;4116109;"MOREIRA SALES";11/2/2020 00:00:00;;8
66804662.00;0;0;0;0;22;22162000;4116208;"MORRETES";11/2/2020 00:00:00;;8
66804663.00;0;0;0;0;22;22164000;4116406;"NOSSA SENHORA DAS GRAÇAS";11/2/2020 00:00:00;;8
66804664.00;0;0;0;0;22;22165000;4116505;"NOVA ALIANÇA DO IVAÍ";11/2/2020 00:00:00;;8
66804665.00;0;0;0;0;22;22166000;4116604;"NOVA AMÉRICA DA COLINA";11/2/2020 00:00:00;;8
66804666.00;0;0;0;0;22;22168000;4116802;"NOVA CANTU";11/2/2020 00:00:00;;8
66804667.00;0;0;0;0;22;22169000;4116901;"NOVA ESPERANÇA";11/2/2020 00:00:00;;8
66804668.00;0;0;0;0;22;22170000;4117008;"NOVA FÁTIMA";11/2/2020 00:00:00;;8
66804669.00;0;0;0;0;22;22170500;4117057;"NOVA LARANJEIRAS";11/2/2020 00:00:00;;8
66804670.00;0;0;0;0;22;22171000;4117107;"NOVA LONDRINA";11/2/2020 00:00:00;;8
66804671.00;0;0;0;0;22;22172000;4117206;"NOVA OLIMPIA";11/2/2020 00:00:00;;8
66804672.00;0;0;0;0;22;22172800;4117214;"NOVA SANTA BÁRBARA";11/2/2020 00:00:00;;8
66804673.00;0;0;0;0;22;22173000;4117222;"NOVA SANTA ROSA";11/2/2020 00:00:00;;8
66804674.00;0;0;0;0;22;22173700;4117297;"NOVO ITACOLOMI";11/2/2020 00:00:00;;8
66804675.00;0;0;0;0;22;22174000;4117305;"ORTIGUEIRA";11/2/2020 00:00:00;;8
66804676.00;0;0;0;0;22;22175000;4117404;"OURIZONA";11/2/2020 00:00:00;;8
66804677.00;0;0;0;0;22;22176000;4117503;"PAIÇANDU";11/2/2020 00:00:00;;8
66804678.00;0;0;0;0;22;22177000;4117602;"PALMAS";11/2/2020 00:00:00;;8
66804679.00;0;0;0;0;22;22178000;4117701;"PALMEIRA";11/2/2020 00:00:00;;8
66804680.00;0;0;0;0;22;22180000;4117909;"PALOTINA";11/2/2020 00:00:00;;8
66804681.00;0;0;0;0;22;22181000;4118006;"PARAÍSO DO NORTE";11/2/2020 00:00:00;;8
66804682.00;0;0;0;0;22;22183000;4118204;"PARANAGUÁ";11/2/2020 00:00:00;;8
66804683.00;0;0;0;0;22;22184000;4118303;"PARANAPOEMA";11/2/2020 00:00:00;;8
66804684.00;0;0;0;0;22;22185500;4118451;"PATO BRAGADO";11/2/2020 00:00:00;;8
66804685.00;0;0;0;0;22;22186000;4118501;"PATO BRANCO";11/2/2020 00:00:00;;8
66804686.00;0;0;0;0;22;22188000;4118709;"PAULO FRONTIN";11/2/2020 00:00:00;;8
66804687.00;0;0;0;0;22;22189000;4118808;"PEABIRU";11/2/2020 00:00:00;;8
66804688.00;0;0;0;0;22;22190000;4118907;"PÉROLA";11/2/2020 00:00:00;;8
66804689.00;0;0;0;0;22;22192000;4119103;"PIÊN";11/2/2020 00:00:00;;8
66804690.00;0;0;0;0;22;22192500;4119152;"PINHAIS";11/2/2020 00:00:00;;8
66804691.00;0;0;0;0;22;22193500;4119251;"PINHAL DE SÃO BENTO";11/2/2020 00:00:00;;8
